,k,min_df,rm_top,vars,alpha,eta,mu,nu_sq,glm_param,seed,mape
0,10,0,0,l,0.1,0.1,0.1,1,1,123,1.1887944391664123
1,25,0,0,l,0.1,0.05,0.0,1,1,123,0.8291252352940571
2,25,0,0,l,0.1,0.01,0.2,1,1,123,0.800396640378568
3,5,0,0,l,0.1,0.01,0.1,1,1,123,6.20215102348573
4,10,0,0,l,0.1,0.2,0.0,1,1,123,1.3954382053629784
